batchNum,transSequence,transType,prcHdrNumber,prcHdrName,capChainId,prcBookNumber,prcType,prcSubType,prcHdrFromDate,prcHdrToDate,prc_source,histPrice,prcTrackHist,prcHdrNotes,autoRelease,dateCreated,rejCode,downloadDate1,downloadDate2,nombreArchivo,fechaStage,fechaPermanente,fechaBackup
241,1,A,,Precio  Blanco Neg,1,1,10,,,,1,F,F,,T,20220808,,,,,,,2022-08-08 22:21:33.0
241,1,A,,Precio  Blanco Neg,1,1,10,,,,1,F,F,,T,20220808,,,,,,,2022-08-08 22:21:33.0
