batchNum;casePackId;prdPdhName1;prdPdhName2;prdPdhName3;prdPddCode1;prdPddCode2;prdPddCode3;variationQty
2423;JMBLUISV23-QYQD AZUL     ;COLOR                         ;TALLA                         ;;AZUL  ;L     ;;1
2423;JMBLUISV23-QYQD AZUL     ;COLOR                         ;TALLA                         ;;AZUL  ;M     ;;2
2423;JMBLUISV23-QYQD AZUL     ;COLOR                         ;TALLA                         ;;AZUL  ;S     ;;2
2423;JMBLUISV23-QYQD AZUL     ;COLOR                         ;TALLA                         ;;AZUL  ;XS    ;;1
2423;JMBLUISV23-QYQD BEIGE    ;COLOR                         ;TALLA                         ;;BEIGE ;L     ;;1
2423;JMBLUISV23-QYQD BEIGE    ;COLOR                         ;TALLA                         ;;BEIGE ;M     ;;2
2423;JMBLUISV23-QYQD BEIGE    ;COLOR                         ;TALLA                         ;;BEIGE ;S     ;;2
2423;JMBLUISV23-QYQD BEIGE    ;COLOR                         ;TALLA                         ;;BEIGE ;XS    ;;1
