batchNum,techKey,tranType,prdLvlNumber,casePackId,vendorNumber,vpcPrdCost,vpcCaseQty,vpcCaseStdPack,vpcCstStart,vpcCstEnd,casePackDesc,dateCreated,downloadDate1,downloadDate2,prdSllUom,currCode,subsAccepted,vpcCaseQtyUom,numberOfInners,invUnitsPerInner,inv_uom,eachesPerInner,gradeCode,vpcCaseGrossWgt,vpcCaseWgt,vpcCaseWgtUom,vpcPrdStatus,vpcCaseWidth,vpcCaseLen,vpcCaseHeight,vpcCaseCube,vpcCaseDimUom,vpcPalletHi,vpcPalletTier,packByNoDays,sellByNoDays,vpcCpDsd,vpcPrimaryFlag,vpcActiveFlag,sllUnitsPerInner,caseCubeUom,associatedPrdUpc,vpcCubeOrdFct,vpcBuyMultiple,vpcApplyLink,costLinkId,packId,nombreArchivo,fechaStage,fechaPermanente,fechaBackup
243,1,A,JHCAMISV23-009 ,JHCAMISV23-009 AZUL      ,566            ,5,6,1,,,,20220809,,,EA    ,,,EA    ,,6,EA    ,,,1,,KG    ,,10,11,12,,CMT   ,,,,,,,,,,,,,,,,,,,2022-08-09 09:59:18.0
243,1,A,JHCAMISV23-009 ,JHCAMISV23-009 AZUL      ,566            ,5,6,1,,,,20220809,,,EA    ,,,EA    ,,6,EA    ,,,1,,KG    ,,10,11,12,,CMT   ,,,,,,,,,,,,,,,,,,,2022-08-09 09:59:18.0
