batchNum,casePackId,prdPdhName1,prdPdhName2,prdPdhName3,prdPddCode1,prdPddCode2,prdPddCode3,variationQty,downloadDate1
241,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,AZUL  ,L     ,,1,
241,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,AZUL  ,L     ,,1,
241,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,AZUL  ,L     ,,1,
241,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,AZUL  ,L     ,,1,
241,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,AZUL  ,L     ,,1,
241,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,AZUL  ,L     ,,1,
241,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,AZUL  ,L     ,,1,
241,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,AZUL  ,L     ,,1,
241,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,AZUL  ,L     ,,1,
241,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,AZUL  ,L     ,,1,
241,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,AZUL  ,L     ,,1,
241,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,AZUL  ,L     ,,1,
241,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,AZUL  ,L     ,,1,
241,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,AZUL  ,L     ,,1,
241,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,AZUL  ,L     ,,1,
241,JHCAMISV23-009           ,COLOR                         ,TALLA                         ,,AZUL  ,L     ,,1,
