batchNum;transSequence;transDtlSequence;prdLvlNumber;prdPlu;prdUpc;prcGroupNumber;prcGroupFlag;prcZoneNumber;orgLvlNumber;prcMult;prcPrice;prcBuyQty;prcGetQty;prcGetValue;prcGetType;prcFcstQty;prcMaxQty;prcUom;prcCurrCode;prcAllowRnd;prcAllowCurr;prcAllowLink;rejCode;downloadDate1;downloadDate2;batchNumb
161;1;1;JHCAMISV23-009 ;;;;;;;1;19990;;;;;;;;CLP;;;;;;;161
161;2;1;JHCAMISV23-009 ;;;;;;;1;33990;;;;;;;;CLP;;;;;;;161
