batchNum,transSequence,transDtlSequence,prdLvlNumber,prdPlu,prdUpc,prcGroupNumber,prcGroupFlag,prcZoneNumber,orgLvlNumber,prcMult,prcPrice,prcBuyQty,prcGetQty,prcGetValue,prcGetType,prcFcstQty,prcMaxQty,prcUom,prcCurrCode,prcAllowRnd,prcAllowCurr,prcAllowLink,rejCode,downloadDate1,downloadDate2,nombreArchivo,fechaStage,fechaPermanente,fechaBackup
242,1,1,JHCAMISV23-009 ,,,,,,,1,19990,,,,,,,,CLP,,,,,,,,,,2022-08-08 22:28:31.0
242,1,1,JHCAMISV23-009 ,,,,,,,1,19990,,,,,,,,CLP,,,,,,,,,,2022-08-08 22:28:31.0
