batchNum;transSequence;transDtlSequence;prdLvlNumber;prdPlu;prdUpc;prcGroupNumber;prcGroupFlag;prcZoneNumber;orgLvlNumber;prcMult;prcPrice;prcBuyQty;prcGetQty;prcGetValue;prcGetType;prcFcstQty;prcMaxQty;prcUom;prcCurrCode;prcAllowRnd;prcAllowCurr;prcAllowLink;rejCode;downloadDate1;downloadDate2;batchNumb
2141;1;1;JMBLUCRI21-WU10;;;;;;;1;19990;;;;;;;;CLP;;;;;;;2141
2141;2;1;JMBLUCRI21-WU10;;;;;;;1;33990;;;;;;;;CLP;;;;;;;2141
