batchNum;prdLvlNumber;prdPdhName;prdPddCode;dateCreated;downloadDate1;downloadDate2;errorCode
161;JHCAMISV23-009 ;COLOR                         ;AZUL  ;20220905;;;
161;JHCAMISV23-009 ;COLOR                         ;BLANCO;20220905;;;
161;JHCAMISV23-009 ;TALLA                         ;L     ;20220905;;;
161;JHCAMISV23-009 ;TALLA                         ;M     ;20220905;;;
161;JHCAMISV23-009 ;TALLA                         ;S     ;20220905;;;
161;JHCAMISV23-009 ;TALLA                         ;XL    ;20220905;;;
