batchNum,transSequence,transDtlSequence,prdLvlNumber,prdPlu,prdUpc,prcGroupNumber,prcGroupFlag,prcZoneNumber,orgLvlNumber,prcMult,prcPrice,prcBuyQty,prcGetQty,prcGetValue,prcGetType,prcFcstQty,prcMaxQty,prcUom,prcCurrCode,prcAllowRnd,prcAllowCurr,prcAllowLink,rejCode,downloadDate1,downloadDate2,nombreArchivo,fechaStage,fechaPermanente,fechaBackup
243,1,1,JHCAMISV23-009 ,,,,,,,1,19990,,,,,,,,CLP,,,,,,,,,,2022-08-09 09:59:18.0
243,1,1,JHCAMISV23-009 ,,,,,,,1,19990,,,,,,,,CLP,,,,,,,,,,2022-08-09 09:59:18.0
