batchNum;transSequence;transType;prcHdrNumber;prcHdrName;capChainId;prcBookNumber;prcType;prcSubType;prcHdrFromDate;prcHdrToDate;prc_source;histPrice;prcTrackHist;prcHdrNotes;autoRelease;dateCreated;rejCode;downloadDate1;downloadDate2;batchNumb
151;1;A;;Precio  Blanco Neg;1;1;10;;;;1;F;F;;T;20220902;;;;151
151;1;A;;Precio  Amarillo Neg;1;1;20;;;;1;F;F;;T;20220902;;;;151
