batchNum;prdLvlNumber;prdPdhName;prdPddCode;dateCreated;downloadDate1;downloadDate2;errorCode
2423;JMBLUISV23-QYQD;COLOR                         ;AZUL  ;20221129;;;
2423;JMBLUISV23-QYQD;COLOR                         ;BEIGE ;20221129;;;
2423;JMBLUISV23-QYQD;TALLA                         ;L     ;20221129;;;
2423;JMBLUISV23-QYQD;TALLA                         ;M     ;20221129;;;
2423;JMBLUISV23-QYQD;TALLA                         ;S     ;20221129;;;
2423;JMBLUISV23-QYQD;TALLA                         ;XS    ;20221129;;;
