batchNum;techKey;tranType;prdLvlNumber;casePackId;vendorNumber;vpcPrdCost;vpcCaseQty;vpcCaseStdPack;vpcCstStart;vpcCstEnd;casePackDesc;dateCreated;downloadDate1;downloadDate2;prdSllUom;currCode;subsAccepted;vpcCaseQtyUom;numberOfInners;invUnitsPerInner;inv_uom;eachesPerInner;gradeCode;vpcCaseGrossWgt;vpcCaseWgt;vpcCaseWgtUom;vpcPrdStatus;vpcCaseWidth;vpcCaseLen;vpcCaseHeight;vpcCaseCube;vpcCaseDimUom;vpcPalletHi;vpcPalletTier;packByNoDays;rcvByNoDays;sellByNoDays;vpcCpDsd;vpcPrimaryFlag;vpcActiveFlag;sllUnitsPerInner;caseCubeUom;associatedPrdUpc;vpcCubeOrdFct;vpcBuyMultiple
151;1;A;JHCAMISV23-009 ;JHCAMISV23-009 AZUL      ;566            ;5;6;1;;;;20220902;;;EA    ;;;EA    ;;6;EA    ;;;1;;KG    ;;10;11;12;;CMT   ;;;;;;;;;;;;;
151;1;A;JHCAMISV23-009 ;JHCAMISV23-009 BLANCO    ;566            ;5;6;1;;;;20220902;;;EA    ;;;EA    ;;6;EA    ;;;1;;KG    ;;20;21;22;;CMT   ;;;;;;;;;;;;;
