batchNum;transSequence;transDtlSequence;prdLvlNumber;prdPlu;prdUpc;prcGroupNumber;prcGroupFlag;prcZoneNumber;orgLvlNumber;prcMult;prcPrice;prcBuyQty;prcGetQty;prcGetValue;prcGetType;prcFcstQty;prcMaxQty;prcUom;prcCurrCode;prcAllowRnd;prcAllowCurr;prcAllowLink;rejCode;downloadDate1;downloadDate2;batchNumb
2423;1;1;JMBLUISV23-QYQD;;;;;;;1;19990;;;;;;;;CLP;;;;;;;2423
2423;2;1;JMBLUISV23-QYQD;;;;;;;1;33990;;;;;;;;CLP;;;;;;;2423
