batchNum;techKey;tranType;prdLvlNumber;casePackId;vendorNumber;vpcPrdCost;vpcCaseQty;vpcCaseStdPack;vpcCstStart;vpcCstEnd;casePackDesc;dateCreated;downloadDate1;downloadDate2;prdSllUom;currCode;subsAccepted;vpcCaseQtyUom;numberOfInners;invUnitsPerInner;inv_uom;eachesPerInner;gradeCode;vpcCaseGrossWgt;vpcCaseWgt;vpcCaseWgtUom;vpcPrdStatus;vpcCaseWidth;vpcCaseLen;vpcCaseHeight;vpcCaseCube;vpcCaseDimUom;vpcPalletHi;vpcPalletTier;packByNoDays;rcvByNoDays;sellByNoDays;vpcCpDsd;vpcPrimaryFlag;vpcActiveFlag;sllUnitsPerInner;caseCubeUom;associatedPrdUpc;vpcCubeOrdFct;vpcBuyMultiple
2423;1;A;JMBLUISV23-QYQD;JMBLUISV23-QYQD AZUL     ;566            ;5;6;1;;;;20221129;;;EA    ;;;EA    ;;6;EA    ;;;1;;KG    ;;40;40;50;;CMT   ;;;;;;;;;;;;;
2423;2;A;JMBLUISV23-QYQD;JMBLUISV23-QYQD BEIGE    ;566            ;5;6;1;;;;20221129;;;EA    ;;;EA    ;;6;EA    ;;;1;;KG    ;;50;50;50;;CMT   ;;;;;;;;;;;;;
